"","Full.Address","CAD.inc.Number","Nature.of.Call","Unit","Date.Time.Received","Date.Time.Dispatched","Date.Time.Arrived","Date.Time.Cleared","first.responder","first.responder.response.time","IncType","LocType","LocName","NearTag","Address","lon","lat","is.first.responder","Date","Date.Short","Year.Month","Month","Year","bad.geocode","Y","X","from.Lowell","from.Lowell_in_traffic","from.HQ","from.HQ_in_traffic","from.FiveFifteen","from.FiveFifteen_in_traffic","from.JoyWashington","from.JoyWashington_in_traffic","from.Highland","from.Highland_in_traffic","from.Teele","from.Teele_in_traffic","from.Union","from.Union_in_traffic"
"1","1 BEACON ST, Somerville, Massachusetts","1307724","S FIRE ALARM","E3","8/9/2013 12:57","8/9/2013 12:58","8/9/2013 13:02","8/9/2013 13:11","E3",4.08,"S FIRE ALARM","B","STARLITE LOUNGE","DICKINSON ST AND CONCORD AV","1 BEACON ST",-71.1014631,42.3745088,1,2013-08-09 12:57:00,2013-08-09,"2013-08","08","2013",0,42.3745088,-71.1014631,"5.91666666666667","6.88333333333333","9.31666666666667","13.6166666666667","4.43333333333333","4.88333333333333","6.21666666666667","7.03333333333333","8.11666666666667","9.81666666666667","13.8","15.8","4.86666666666667","5.58333333333333"
"2","1 CAPEN CT, Somerville, Massachusetts","1309189","MEDICAL AID","E6","9/15/2013 18:28","9/15/2013 18:28","9/15/2013 18:31","9/15/2013 18:42","E6",3.73,"MEDICAL AID","B","CAPEN COURT APTS.","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2013-09-15 18:28:00,2013-09-15,"2013-09","09","2013",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
"3","1 CAPEN CT, Somerville, Massachusetts","1304825","S FIRE ALARM","L3","5/20/2013 15:02","5/20/2013 15:02","5/20/2013 15:07","5/20/2013 15:13","L3",4.15,"S FIRE ALARM","B","CAPEN COURT APTS.","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2013-05-20 15:02:00,2013-05-20,"2013-05","05","2013",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
"4","1 CAPEN CT, Somerville, Massachusetts","1410046","MEDICAL AID","L3","10/7/2014 13:43","10/7/2014 13:45","10/7/2014 13:49","10/7/2014 13:59","L3",4.23,"MEDICAL AID","B","CAPEN COURT APTS - SHA","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2014-10-07 13:43:00,2014-10-07,"2014-10","10","2014",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
"5","1 CAPEN CT, Somerville, Massachusetts","1307142","MEDICAL AID","E6","7/24/2013 18:58","7/24/2013 18:58","7/24/2013 19:02","7/24/2013 19:31","E6",3.68,"MEDICAL AID","B","CAPEN COURT APTS.","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2013-07-24 18:58:00,2013-07-24,"2013-07","07","2013",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
"6","1 CAPEN CT, Somerville, Massachusetts","1307915","MEDICAL AID","E6","8/14/2013 19:39","8/14/2013 19:38","8/14/2013 19:42","8/14/2013 19:55","E6",3.57,"MEDICAL AID","B","CAPEN COURT APTS.","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2013-08-14 19:39:00,2013-08-15,"2013-08","08","2013",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
"7","1 CAPEN CT, Somerville, Massachusetts","1402319","E FIRE ALARM","E6","3/9/2014 8:15","3/9/2014 8:17","3/9/2014 8:23","3/9/2014 8:36","E6",5.18,"E FIRE ALARM","S","CAPEN CT","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2014-03-09 08:15:00,2014-03-09,"2014-03","03","2014",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
"8","1 CAPEN CT, Somerville, Massachusetts","1309345","MEDICAL AID L","L3","9/19/2013 15:10","9/19/2013 15:11","9/19/2013 15:14","9/19/2013 15:30","L3",3.25,"MEDICAL AID L","B","CAPEN COURT APTS.","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2013-09-19 15:10:00,2013-09-19,"2013-09","09","2013",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
"9","1 CAPEN CT, Somerville, Massachusetts","1203650","MEDICAL AID","E6","5/3/2012 23:30","5/3/2012 23:30","5/3/2012 23:34","5/3/2012 23:47","E6",4.12,"MEDICAL AID","B","CAPEN COURT APTS.","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2012-05-03 23:30:00,2012-05-04,"2012-05","05","2012",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
"10","1 CAPEN CT, Somerville, Massachusetts","1307276","MEDICAL AID","E6","7/28/2013 23:19","7/28/2013 23:19","7/28/2013 23:23","7/28/2013 23:41","E6",4.02,"MEDICAL AID","B","CAPEN COURT APTS.","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2013-07-28 23:19:00,2013-07-29,"2013-07","07","2013",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
"11","1 CAPEN CT, Somerville, Massachusetts","1409497","FIRE","E6","9/23/2014 16:02","9/23/2014 16:06","9/23/2014 16:09","9/23/2014 16:46","E6",3.4,"FIRE","B","CAPEN COURT APTS - SHA","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2014-09-23 16:02:00,2014-09-23,"2014-09","09","2014",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
"12","1 CAPEN CT, Somerville, Massachusetts","1210774","MEDICAL AID","E6","11/26/2012 0:37","11/26/2012 0:38","11/26/2012 0:42","11/26/2012 0:51","E6",4.5,"MEDICAL AID","B","CAPEN COURT APTS.","2 CAPEN ST AND DEAD END","1 CAPEN CT",-71.1293766,42.4147965,1,2012-11-26 00:37:00,2012-11-26,"2012-11","11","2012",0,42.4147965,-71.1293766,"11.35","15","12.5","18.95","12.4166666666667","15","16.7833333333333","21.0333333333333","9.01666666666667","12.4666666666667","3.95","4.13333333333333","15.6","19.8166666666667"
