"","Full.Address","CAD.inc.Number","Nature.of.Call","Unit","Date.Time.Received","Date.Time.Dispatched","Date.Time.Arrived","Date.Time.Cleared","first.responder","first.responder.response.time","IncType","LocType","LocName","NearTag","Address","lon","lat","is.first.responder","Date","Date.Short","Year.Month","Month","Year","bad.geocode","Y","X","from.Lowell","from.HQ","from.FiveFifteen","from.JoyWashington"
"1","1 BOW ST, Somerville, Massachusetts","1206768","MEDICAL AID","E1","8/8/2012 15:37","8/8/2012 15:37","8/8/2012 15:41","8/8/2012 15:53","E1",3.63,"MEDICAL AID","B","GOODYEAR TIRE","UNION SQ AND WALNUT ST","1 BOW ST",-71.0965917,42.3807879,1,2012-08-08 15:37:00,2012-08-08,"2012-08","08","2012",0,42.3807879,-71.0965917,"4.33333333333333","6.66666666666667","2.9","3.43333333333333"
"2","1 ELIOT ST, Somerville, Massachusetts","1312649","MEDICAL AID","E1","12/20/2013 1:44","12/20/2013 1:45","12/20/2013 1:49","12/20/2013 1:57","E1",4.05,"MEDICAL AID","S","ELIOT ST","PROPERZI WY AND PARK ST","1 ELIOT ST",-71.106715,42.3804969,1,2013-12-20 01:44:00,2013-12-20,"2013-12","12","2013",0,42.3804969,-71.106715,"2.43333333333333","9.08333333333333","1.35","5.98333333333333"
"3","1 FITCHBURG ST, Somerville, Massachusetts","1305911","MEDICAL AID","E3","6/20/2013 15:57","6/20/2013 15:58","6/20/2013 16:01","6/20/2013 16:19","E3",3.1,"MEDICAL AID","B","BRICK BOTTOM ARTIST COLONY - F","3 LINWOOD ST AND DEAD END","1 FITCHBURG ST",-71.084375,42.375714,1,2013-06-20 15:57:00,2013-06-20,"2013-06","06","2013",0,42.375714,-71.084375,"8.38333333333333","6.1","6.95","1.45"
"4","1 FITCHBURG ST, Somerville, Massachusetts","1305639","A FIRE ALARM","E3","6/12/2013 0:49","6/12/2013 0:50","6/12/2013 0:53","6/12/2013 0:57","E3",2.73,"A FIRE ALARM","B","BRICK BOTTOM ARTIST COLONY - F","3 LINWOOD ST AND DEAD END","1 FITCHBURG ST",-71.084375,42.375714,1,2013-06-12 00:49:00,2013-06-12,"2013-06","06","2013",0,42.375714,-71.084375,"8.38333333333333","6.1","6.95","1.45"
"5","1 FITCHBURG ST, Somerville, Massachusetts","1310608","MEDICAL AID","E3","10/24/2013 21:32","10/24/2013 21:33","10/24/2013 21:36","10/24/2013 21:53","E3",2.73,"MEDICAL AID","B","BRICK BOTTOM ARTIST COLONY - R","3 LINWOOD ST AND DEAD END","1 R FITCHBURG ST",-71.084375,42.375714,1,2013-10-24 21:32:00,2013-10-25,"2013-10","10","2013",0,42.375714,-71.084375,"8.38333333333333","6.1","6.95","1.45"
"6","1 FITCHBURG ST, Somerville, Massachusetts","1203895","MEDICAL AID","E3","5/11/2012 16:50","5/11/2012 16:51","5/11/2012 16:54","5/11/2012 17:06","E3",3.38,"MEDICAL AID","B","BRICK BOTTOM ARTIST COLONY - F","3 LINWOOD ST AND DEAD END","1 FITCHBURG ST",-71.084375,42.375714,1,2012-05-11 16:50:00,2012-05-11,"2012-05","05","2012",0,42.375714,-71.084375,"8.38333333333333","6.1","6.95","1.45"
"7","1 FITCHBURG ST, Somerville, Massachusetts","1408194","MEDICAL AID","E3","8/21/2014 6:14","8/21/2014 6:15","8/21/2014 6:19","8/21/2014 6:27","E3",4.35,"MEDICAL AID","B","BRICK BOTTOM ARTIST COLONY - F","3 LINWOOD ST AND DEAD END","1 FITCHBURG ST",-71.084375,42.375714,1,2014-08-21 06:14:00,2014-08-21,"2014-08","08","2014",0,42.375714,-71.084375,"8.38333333333333","6.1","6.95","1.45"
"8","1 HAYDEN TER, Somerville, Massachusetts","1300983","A FIRE ALARM","E1","1/30/2013 10:01","1/30/2013 10:02","1/30/2013 10:07","1/30/2013 10:36","E1",4.08,"A FIRE ALARM","S","HAYDEN TER","27 LINDEN AV AND DEAD END","1 HAYDEN TER",-71.1130961,42.3883433,1,2013-01-30 10:01:00,2013-01-30,"2013-01","01","2013",0,42.3883433,-71.1130961,"1.86666666666667","9.73333333333333","3.06666666666667","8.26666666666667"
"9","1 MCGRATH HWY, Somerville, Massachusetts","1401194","MEDICAL AID","E3","2/3/2014 16:51","2/3/2014 16:52","2/3/2014 16:56","2/3/2014 17:02","E3",3.88,"MEDICAL AID","B","LECHMERE CAR WASH","CAMBRDGE LINE & RAILROAD BRDGE","1 MCGRATH HWY",-71.081502,42.373924,1,2014-02-03 16:51:00,2014-02-03,"2014-02","02","2014",0,42.373924,-71.081502,"10.7833333333333","7.5","9.36666666666667","5.71666666666667"
"10","1 NEWTON PL, Somerville, Massachusetts","1208503","MEDICAL AID","E3","9/24/2012 19:00","9/24/2012 19:00","9/24/2012 19:03","9/24/2012 19:06","E3",2.77,"MEDICAL AID","S","NEWTON PL","56 NEWTON ST AND DEAD END","1 NEWTON PL",-71.1395195,42.423728,1,2012-09-24 19:00:00,2012-09-25,"2012-09","09","2012",0,42.423728,-71.1395195,"14.3166666666667","13.2666666666667","15.5166666666667","14.2"
"11","1 SUMMER ST, Somerville, Massachusetts","1200002","MEDICAL AID","E3","1/1/2012 0:26","1/1/2012 0:26","1/1/2012 0:30","1/1/2012 0:48","E3",3.25,"MEDICAL AID","S","SUMMER ST","WESLEY PK AND VINAL AV","1 SUMMER ST",-71.0981117,42.3819693,1,2012-01-01 00:26:00,2012-01-01,"2012-01","01","2012",0,42.3819693,-71.0981117,"3.78333333333333","5.61666666666667","2.58333333333333","3.75"
"12","10 AVON ST, Somerville, Massachusetts","1300588","A FIRE ALARM","E3","1/18/2013 15:22","1/18/2013 15:22","1/18/2013 15:26","1/18/2013 15:41","E3",4.02,"A FIRE ALARM","S","AVON ST","SCHOOL ST AND CENTRAL ST","10 AVON ST",-71.1004692,42.3850638,1,2013-01-18 15:22:00,2013-01-18,"2013-01","01","2013",0,42.3850638,-71.1004692,"4.05","7.95","3.2","7.56666666666667"
"13","10 AVON ST, Somerville, Massachusetts","1300173","A FIRE ALARM","E1","1/5/2013 15:21","1/5/2013 15:22","1/5/2013 15:25","1/5/2013 15:36","E1",3.5,"A FIRE ALARM","S","AVON ST","SCHOOL ST AND CENTRAL ST","10 AVON ST",-71.1004692,42.3850638,1,2013-01-05 15:21:00,2013-01-05,"2013-01","01","2013",0,42.3850638,-71.1004692,"4.05","7.95","3.2","7.56666666666667"
"14","10 BEECH ST, Somerville, Massachusetts","1305004","MEDICAL AID","E1","5/26/2013 6:51","5/26/2013 6:52","5/26/2013 6:55","5/26/2013 7:01","E1",3.27,"MEDICAL AID","S","BEECH ST","SOMERVILLE AV AND PITMAN ST","10 BEECH ST",-71.1079178,42.3839931,1,2013-05-26 06:51:00,2013-05-26,"2013-05","05","2013",0,42.3839931,-71.1079178,"2.23333333333333","9.58333333333333","1.4","7.06666666666667"
"15","10 BEECH ST, Somerville, Massachusetts","1302963","MEDICAL AID","E1","3/26/2013 18:55","3/26/2013 18:56","3/26/2013 18:59","3/26/2013 19:12","E1",3.08,"MEDICAL AID","S","BEECH ST","SOMERVILLE AV AND PITMAN ST","10 BEECH ST",-71.1079178,42.3839931,1,2013-03-26 18:55:00,2013-03-26,"2013-03","03","2013",0,42.3839931,-71.1079178,"2.23333333333333","9.58333333333333","1.4","7.06666666666667"
"16","10 BEECH ST, Somerville, Massachusetts","1300427","MEDICAL AID","E1","1/13/2013 13:21","1/13/2013 13:21","1/13/2013 13:24","1/13/2013 13:39","E1",2.6,"MEDICAL AID","S","BEECH ST","SOMERVILLE AV AND PITMAN ST","10 BEECH ST",-71.1079178,42.3839931,1,2013-01-13 13:21:00,2013-01-13,"2013-01","01","2013",0,42.3839931,-71.1079178,"2.23333333333333","9.58333333333333","1.4","7.06666666666667"
"17","10 BOW ST, Somerville, Massachusetts","1400358","MEDICAL AID","E3","1/9/2014 19:15","1/9/2014 19:16","1/9/2014 19:19","1/9/2014 19:26","E3",2.13,"MEDICAL AID","B","COMMUNITY LAUNDRY","UNION SQ AND SOMERVILLE AV","10 BOW ST",-71.0968643,42.3804857,1,2014-01-09 19:15:00,2014-01-10,"2014-01","01","2014",0,42.3804857,-71.0968643,"4.15","6.48333333333333","2.71666666666667","3.25"
"18","10 BOW ST, Somerville, Massachusetts","1412643","MEDICAL AID","E3","12/18/2014 11:46","12/18/2014 11:47","12/18/2014 11:49","12/18/2014 12:00","E3",2.18,"MEDICAL AID","B","COMMUNITY LAUNDRY","UNION SQ AND SOMERVILLE AV","10 BOW ST",-71.0968643,42.3804857,1,2014-12-18 11:46:00,2014-12-18,"2014-12","12","2014",0,42.3804857,-71.0968643,"4.15","6.48333333333333","2.71666666666667","3.25"
"19","10 CHARLESTOWN ST, Somerville, Massachusetts","1412962","B FIRE ALARM","E3","12/29/2014 11:42","12/29/2014 11:43","12/29/2014 11:45","12/29/2014 11:54","E3",2.07,"B FIRE ALARM","B","LINDEN PLACE APARTMENTS","ALLEN ST AND LINDEN ST","10 CHARLESTOWN ST",-71.0931269,42.3768551,1,2014-12-29 11:42:00,2014-12-29,"2014-12","12","2014",0,42.3768551,-71.0931269,"6.76666666666667","7.03333333333333","5.33333333333333","3.8"
"20","10 CHARLESTOWN ST, Somerville, Massachusetts","1302355","MEDICAL AID","E3","3/8/2013 15:04","3/8/2013 15:04","3/8/2013 15:07","3/8/2013 15:24","E3",2.52,"MEDICAL AID","B","LINDEN PLACE APARTMENTS","ALLEN ST AND LINDEN ST","10 CHARLESTOWN ST",-71.0931269,42.3768551,1,2013-03-08 15:04:00,2013-03-08,"2013-03","03","2013",0,42.3768551,-71.0931269,"6.76666666666667","7.03333333333333","5.33333333333333","3.8"
"21","10 HOLYOKE RD, Somerville, Massachusetts","1308208","BOMB REMOVAL","E1","8/22/2013 23:34","8/22/2013 23:36","8/22/2013 23:39","8/22/2013 23:43","E1",3.37,"BOMB REMOVAL","S","HOLYOKE RD","64 ELM ST AND 84 ELM ST","10 HOLYOKE RD",-71.1161927,42.3879566,1,2013-08-22 23:34:00,2013-08-23,"2013-08","08","2013",0,42.3879566,-71.1161927,"2.06666666666667","10.1166666666667","3.26666666666667","8.93333333333333"
"22","10 LOWELL ST, Somerville, Massachusetts","1403257","CARB MON DETECT","E1","4/8/2014 22:03","4/8/2014 22:05","4/8/2014 22:07","4/8/2014 22:25","E1",2.13,"CARB MON DETECT","S","LOWELL ST","SOMERVILLE AV AND KIMBALL ST","10 LOWELL ST",-71.1117697,42.385014,1,2014-04-08 22:03:00,2014-04-09,"2014-04","04","2014",0,42.385014,-71.1117697,"0.216666666666667","9.6","1.41666666666667","7.08333333333333"
"23","10 MADISON ST, Somerville, Massachusetts","1301398","MEDICAL AID","E3","2/9/2013 20:55","2/9/2013 20:56","2/9/2013 21:05","2/9/2013 21:12","E3",8.7,"MEDICAL AID","S","MADISON ST","SCHOOL ST AND SYCAMORE ST","10 MADISON ST",-71.0986362,42.387746,1,2013-02-09 20:55:00,2013-02-10,"2013-02","02","2013",0,42.387746,-71.0986362,"5.1","7.5","4.25","6.13333333333333"
"24","10 POPLAR ST, Somerville, Massachusetts","1300668","S FIRE ALARM","E3","1/21/2013 5:59","1/21/2013 6:00","1/21/2013 6:05","1/21/2013 6:10","E3",4.48,"S FIRE ALARM","B","WASTE MANAGEMENT","MCGRATH HWY AND LINWOOD ST","10 POPLAR ST",-71.087983,42.377593,1,2013-01-21 05:59:00,2013-01-21,"2013-01","01","2013",0,42.377593,-71.087983,"8.61666666666667","5.91666666666667","7.2","1.43333333333333"
"25","10 PUTNAM ST, Somerville, Massachusetts","1408460","FIRE","E3","8/28/2014 18:37","8/28/2014 18:38","8/28/2014 18:42","8/28/2014 18:50","E3",3.75,"FIRE","S","PUTNAM ST","SUMMER ST AND HIGHLAND AV","10 PUTNAM ST",-71.098972,42.383616,1,2014-08-28 18:37:00,2014-08-28,"2014-08","08","2014",0,42.383616,-71.098972,"3.65","5.55","2.45","4.18333333333333"
"26","10 PUTNAM ST, Somerville, Massachusetts","1205073","A FIRE ALARM","E3","6/19/2012 20:26","6/19/2012 20:27","6/19/2012 20:30","6/19/2012 20:36","E3",3.37,"A FIRE ALARM","S","PUTNAM ST","SUMMER ST AND HIGHLAND AV","10 PUTNAM ST",-71.098972,42.383616,1,2012-06-19 20:26:00,2012-06-20,"2012-06","06","2012",0,42.383616,-71.098972,"3.65","5.55","2.45","4.18333333333333"
"27","101 LINWOOD ST, Somerville, Massachusetts","1305105","MEDICAL AID","E3","5/29/2013 13:59","5/29/2013 14:00","5/29/2013 14:03","5/29/2013 14:09","E3",2.97,"MEDICAL AID","B","NSTAR ELECTRIC SERVICE CENTER","POPLAR ST AND MCGRATH HWY","101 LINWOOD ST",-71.0890461,42.3794827,1,2013-05-29 13:59:00,2013-05-29,"2013-05","05","2013",0,42.3794827,-71.0890461,"7.21666666666667","4.7","5.78333333333333","1.43333333333333"
