"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"1","1 BEACON ST, Somerville, Massachusetts","42.3745088, -71.1014631",1,"515 Somerville Ave, Somerville, MA","4.4","264","0.7910422",1
"2","1 BIKE PATH, Somerville, Massachusetts","42.4278162, -71.0602435",1,"515 Somerville Ave, Somerville, MA","20.65","1239","5.3887808",2
"3","1 EVERETT HIGH SCHOOL, Somerville, Massachusetts","42.3875968, -71.0994968",1,"515 Somerville Ave, Somerville, MA","4.01666666666667","241","0.7152314",3
"4","1 FITCHBURG ST, Somerville, Massachusetts","42.375714, -71.084375",3,"515 Somerville Ave, Somerville, MA","6.95","417","1.2508782",4
"5","1 MCGRATH HWY, Somerville, Massachusetts","42.373924, -71.081502",1,"515 Somerville Ave, Somerville, MA","9.36666666666667","562","1.9381466",5
"6","1 MUTUAL AID - BOSTON, Somerville, Massachusetts","42.3875968, -71.0994968",1,"515 Somerville Ave, Somerville, MA","4.01666666666667","241","0.7152314",6
"7","1 MUTUAL AID - CAMBRIDGE, Somerville, Massachusetts","42.3875968, -71.0994968",12,"515 Somerville Ave, Somerville, MA","4.01666666666667","241","0.7152314",7
"8","1 STICKNEY AVE, Somerville, Massachusetts","42.3888026, -71.0954734",1,"515 Somerville Ave, Somerville, MA","5.86666666666667","352","1.1719604",8
"9","1 VILLAGE TER, Somerville, Massachusetts","42.380706, -71.104941",1,"515 Somerville Ave, Somerville, MA","1.51666666666667","91","0.3193996",9
"10","10 AVON ST, Somerville, Massachusetts","42.3850638, -71.1004692",1,"515 Somerville Ave, Somerville, MA","3.2","192","0.5480748",10
"11","10 BEACON ST, Somerville, Massachusetts","42.3745827, -71.102346",1,"515 Somerville Ave, Somerville, MA","3.7","222","0.7599722",11
"12","10 BOW ST, Somerville, Massachusetts","42.3804857, -71.0968643",2,"515 Somerville Ave, Somerville, MA","2.71666666666667","163","0.5275686",12
"13","10 CALDWELL AVE, Somerville, Massachusetts","42.3779882, -71.1048939",1,"515 Somerville Ave, Somerville, MA","2.58333333333333","155","0.5039554",13
"14","10 DIMICK ST, Somerville, Massachusetts","42.37591, -71.1020496",1,"515 Somerville Ave, Somerville, MA","3.18333333333333","191","0.6456346",14
"15","10 GARFIELD AVE, Somerville, Massachusetts","42.389659, -71.086398",1,"515 Somerville Ave, Somerville, MA","7.86666666666667","472","1.6075618",15
"16","10 KENT CT, Somerville, Massachusetts","42.3828035, -71.1109927",1,"515 Somerville Ave, Somerville, MA","2.61666666666667","157","0.5039554",16
"17","10 LEE ST, Somerville, Massachusetts","42.3902696, -71.0996185",1,"515 Somerville Ave, Somerville, MA","4.9","294","0.9557132",17
"18","10 MOSSLAND ST, Somerville, Massachusetts","42.3876343, -71.11636",1,"515 Somerville Ave, Somerville, MA","3.41666666666667","205","0.6798116",18
"19","10 POPLAR ST, Somerville, Massachusetts","42.377593, -71.087983",1,"515 Somerville Ave, Somerville, MA","7.2","432","1.3913146",19
"20","10 RIVER RD, Somerville, Massachusetts","42.3971298, -71.0929603",1,"515 Somerville Ave, Somerville, MA","8.63333333333333","518","1.7020146",20
"21","10 STANFORD TER, Somerville, Massachusetts","42.3850487, -71.1139041",1,"515 Somerville Ave, Somerville, MA","2.61666666666667","157","0.7040462",21
"22","10 TAUNTON ST, Somerville, Massachusetts","42.3768102, -71.1004554",1,"515 Somerville Ave, Somerville, MA","3.91666666666667","235","0.7637006",22
"23","10 WEBSTER AVE, Somerville, Massachusetts","42.3670154, -71.0924784",1,"515 Somerville Ave, Somerville, MA","7.76666666666667","466","1.516216",23
"24","100 CONCORD AVE, Somerville, Massachusetts","42.3755684, -71.1018077",1,"515 Somerville Ave, Somerville, MA","3.5","210","0.6872684",24
"25","101 ELM ST, Somerville, Massachusetts","42.3897813, -71.11693",1,"515 Somerville Ave, Somerville, MA","3.3","198","0.7724002",25
"26","101 HIGHLAND AVE, Somerville, Massachusetts","42.3873338, -71.0992013",1,"515 Somerville Ave, Somerville, MA","3.46666666666667","208","0.6754618",26
"27","101 LINWOOD ST, Somerville, Massachusetts","42.3794827, -71.0890461",1,"515 Somerville Ave, Somerville, MA","5.78333333333333","347","0.997347",27
"28","101 SCHOOL ST, Somerville, Massachusetts","42.385824, -71.099082",1,"515 Somerville Ave, Somerville, MA","3.91666666666667","235","0.7649434",28
"29","103 BEACON ST, Somerville, Massachusetts","42.3775084, -71.1054023",1,"515 Somerville Ave, Somerville, MA","2.78333333333333","167","0.5201118",29
"30","104 LINE ST, Somerville, Massachusetts","42.375258, -71.103829",1,"515 Somerville Ave, Somerville, MA","5.4","324","1.0340096",30
"31","108 GOVERNOR WINTHROP RD, Somerville, Massachusetts","42.3974674, -71.0891798",1,"515 Somerville Ave, Somerville, MA","8.25","495","1.879735",31
"32","108 HOLTON ST, Somerville, Massachusetts","42.3606496, -71.138534",1,"515 Somerville Ave, Somerville, MA","15.1833333333333","911","2.9802344",32
"33","109 HIGHLAND AVE, Somerville, Massachusetts","42.3872004, -71.0997656",1,"515 Somerville Ave, Somerville, MA","3.36666666666667","202","0.6530914",33
"34","109 PERKINS ST, Somerville, Massachusetts","42.385113, -71.0811033",1,"515 Somerville Ave, Somerville, MA","8.61666666666667","517","1.6230968",34
"35","11 BOW ST, Somerville, Massachusetts","42.3808548, -71.0967096",2,"515 Somerville Ave, Somerville, MA","2.9","174","0.5505604",35
"36","11 GRANDVIEW AVE, Somerville, Massachusetts","42.3850581, -71.0952637",1,"515 Somerville Ave, Somerville, MA","4.1","246","0.8475896",36
"37","11 PUTNAM ST, Somerville, Massachusetts","42.3835245, -71.0985523",2,"515 Somerville Ave, Somerville, MA","2.46666666666667","148","0.5288114",37
"38","11 SANBORN AVE, Somerville, Massachusetts","42.381662, -71.096045",1,"515 Somerville Ave, Somerville, MA","3.71666666666667","223","0.640042",38
"39","110 BARTLETT ST, Somerville, Massachusetts","42.395356, -71.101197",1,"515 Somerville Ave, Somerville, MA","5.53333333333333","332","1.143376",39
"40","110 BEACON ST, Somerville, Massachusetts","42.377521, -71.10587",1,"515 Somerville Ave, Somerville, MA","2.71666666666667","163","0.503334",40
"41","110 LINE ST, Somerville, Massachusetts","42.375092, -71.103636",1,"515 Somerville Ave, Somerville, MA","5.35","321","1.0184746",41
"42","110 WALNUT ST, Somerville, Massachusetts","42.3872473, -71.0934062",1,"515 Somerville Ave, Somerville, MA","5.11666666666667","307","1.0029396",42
"43","113 WASHINGTON ST, Somerville, Massachusetts","42.3813466, -71.0868865",1,"515 Somerville Ave, Somerville, MA","6.05","363","1.1104418",43
"44","114 TEMPLE ST, Somerville, Massachusetts","42.3956935, -71.0900588",1,"515 Somerville Ave, Somerville, MA","7.33333333333333","440","1.58457",44
"45","115 SYCAMORE ST, Somerville, Massachusetts","42.3916682, -71.0988003",1,"515 Somerville Ave, Somerville, MA","4.33333333333333","260","0.8376472",45
"46","117 SUMMER ST, Somerville, Massachusetts","42.385656, -71.1027996",1,"515 Somerville Ave, Somerville, MA","2.5","150","0.4231734",46
"47","119 MIDDLESEX AVE, Somerville, Massachusetts","42.3944439, -71.0824898",2,"515 Somerville Ave, Somerville, MA","10.4833333333333","629","2.3159578",47
"48","119 TEMPLE ST, Somerville, Massachusetts","42.395234, -71.089722",1,"515 Somerville Ave, Somerville, MA","7.36666666666667","442","1.593891",48
"49","12 BELMONT ST, Somerville, Massachusetts","42.3848943, -71.1106333",1,"515 Somerville Ave, Somerville, MA","3.73333333333333","224","0.6816758",49
"50","12 BUCKINGHAM ST, Somerville, Massachusetts","42.376569, -71.10346",1,"515 Somerville Ave, Somerville, MA","3.1","186","0.6133218",50
"51","12 CARLTON ST, Somerville, Massachusetts","42.380757, -71.0995952",1,"515 Somerville Ave, Somerville, MA","1.98333333333333","119","0.3840252",51
"52","12 FOSKETT ST, Somerville, Massachusetts","42.396896, -71.11554",1,"515 Somerville Ave, Somerville, MA","6.03333333333333","362","1.4528332",52
"53","12 HANCOCK ST, Somerville, Massachusetts","42.3903718, -71.1168357",1,"515 Somerville Ave, Somerville, MA","4.45","267","1.1073348",53
"54","12 KILBY ST, Somerville, Massachusetts","42.3805033, -71.0991799",2,"515 Somerville Ave, Somerville, MA","2.01666666666667","121","0.4095026",54
"55","12 LAKE ST, Somerville, Massachusetts","42.3799777, -71.098881",1,"515 Somerville Ave, Somerville, MA","2.68333333333333","161","0.4809636",55
"56","12 MARSHALL ST, Somerville, Massachusetts","42.3919259, -71.0931556",1,"515 Somerville Ave, Somerville, MA","6.93333333333333","416","1.357759",56
"57","12 PARK ST, Somerville, Massachusetts","42.3820281, -71.1068521",1,"515 Somerville Ave, Somerville, MA","0.566666666666667","34","0.1062594",57
"58","12 PARKER PL, Somerville, Massachusetts","42.3869881, -71.1137149",1,"515 Somerville Ave, Somerville, MA","2.51666666666667","151","0.553046",58
"59","12 PARKER ST, Somerville, Massachusetts","42.3788542, -71.0999986",1,"515 Somerville Ave, Somerville, MA","3.11666666666667","187","0.6661408",59
"60","12 PRESCOTT ST, Somerville, Massachusetts","42.384214, -71.099708",1,"515 Somerville Ave, Somerville, MA","2.1","126","0.456729",60
"61","12 TYLER ST, Somerville, Massachusetts","42.3816543, -71.1063031",3,"515 Somerville Ave, Somerville, MA","0.65","39","0.1224158",61
"62","120 BEACON ST, Somerville, Massachusetts","42.3780339, -71.1063818",1,"515 Somerville Ave, Somerville, MA","2.55","153","0.459836",62
"63","120 MIDDLESEX AVE, Somerville, Massachusetts","42.3945465, -71.0838659",1,"515 Somerville Ave, Somerville, MA","9.13333333333333","548","2.1382374",63
"64","123 TEMPLE ST, Somerville, Massachusetts","42.395277, -71.089464",1,"515 Somerville Ave, Somerville, MA","7.41666666666667","445","1.6069404",64
