"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"1","1 BEACON ST, Somerville, Massachusetts","42.3745088, -71.1014631",1,"146 Washington St, Somerville, MA","6.2","372","0.9998326",1
"2","1 BIKE PATH, Somerville, Massachusetts","42.4278162, -71.0602435",1,"146 Washington St, Somerville, MA","17.1","1026","4.6629856",2
"3","1 EVERETT HIGH SCHOOL, Somerville, Massachusetts","42.3875968, -71.0994968",1,"146 Washington St, Somerville, MA","5.88333333333333","353","1.1023636",3
"4","1 FITCHBURG ST, Somerville, Massachusetts","42.375714, -71.084375",3,"146 Washington St, Somerville, MA","1.45","87","0.4001816",4
"5","1 MCGRATH HWY, Somerville, Massachusetts","42.373924, -71.081502",1,"146 Washington St, Somerville, MA","5.71666666666667","343","1.2670346",5
"6","1 MUTUAL AID - BOSTON, Somerville, Massachusetts","42.3875968, -71.0994968",1,"146 Washington St, Somerville, MA","5.88333333333333","353","1.1023636",6
"7","1 MUTUAL AID - CAMBRIDGE, Somerville, Massachusetts","42.3875968, -71.0994968",12,"146 Washington St, Somerville, MA","5.88333333333333","353","1.1023636",7
"8","1 STICKNEY AVE, Somerville, Massachusetts","42.3888026, -71.0954734",1,"146 Washington St, Somerville, MA","4.73333333333333","284","0.904137",8
"9","1 VILLAGE TER, Somerville, Massachusetts","42.380706, -71.104941",1,"146 Washington St, Somerville, MA","5.38333333333333","323","0.9954828",9
"10","10 AVON ST, Somerville, Massachusetts","42.3850638, -71.1004692",1,"146 Washington St, Somerville, MA","7.56666666666667","454","1.3869648",10
"11","10 BEACON ST, Somerville, Massachusetts","42.3745827, -71.102346",1,"146 Washington St, Somerville, MA","6.53333333333333","392","1.2098658",11
"12","10 BOW ST, Somerville, Massachusetts","42.3804857, -71.0968643",2,"146 Washington St, Somerville, MA","3.25","195","0.5014698",12
"13","10 CALDWELL AVE, Somerville, Massachusetts","42.3779882, -71.1048939",1,"146 Washington St, Somerville, MA","5.31666666666667","319","0.953849",13
"14","10 DIMICK ST, Somerville, Massachusetts","42.37591, -71.1020496",1,"146 Washington St, Somerville, MA","6.01666666666667","361","1.0955282",14
"15","10 GARFIELD AVE, Somerville, Massachusetts","42.389659, -71.086398",1,"146 Washington St, Somerville, MA","4.06666666666667","244","0.7543796",15
"16","10 KENT CT, Somerville, Massachusetts","42.3828035, -71.1109927",1,"146 Washington St, Somerville, MA","7.56666666666667","454","1.3956644",16
"17","10 LEE ST, Somerville, Massachusetts","42.3902696, -71.0996185",1,"146 Washington St, Somerville, MA","5.25","315","0.991133",17
"18","10 MOSSLAND ST, Somerville, Massachusetts","42.3876343, -71.11636",1,"146 Washington St, Somerville, MA","9.08333333333333","545","1.7144426",18
