"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"1","1 BEACON ST, Somerville, Massachusetts","42.3745088, -71.1014631",1,"651 Somerville Ave, Somerville, MA 02143","5.83333333333333","350","1.0924212",1
"2","1 BIKE PATH, Somerville, Massachusetts","42.4278162, -71.0602435",1,"651 Somerville Ave, Somerville, MA 02143","22.0666666666667","1324","5.6901598",2
"3","1 EVERETT HIGH SCHOOL, Somerville, Massachusetts","42.3875968, -71.0994968",1,"651 Somerville Ave, Somerville, MA 02143","4.85","291","0.9097296",3
"4","1 FITCHBURG ST, Somerville, Massachusetts","42.375714, -71.084375",3,"651 Somerville Ave, Somerville, MA 02143","8.38333333333333","503","1.5522572",4
"5","1 MCGRATH HWY, Somerville, Massachusetts","42.373924, -71.081502",1,"651 Somerville Ave, Somerville, MA 02143","10.7833333333333","647","2.2395256",5
"6","1 MUTUAL AID - BOSTON, Somerville, Massachusetts","42.3875968, -71.0994968",1,"651 Somerville Ave, Somerville, MA 02143","4.85","291","0.9097296",6
"7","1 MUTUAL AID - CAMBRIDGE, Somerville, Massachusetts","42.3875968, -71.0994968",12,"651 Somerville Ave, Somerville, MA 02143","4.85","291","0.9097296",7
"8","1 STICKNEY AVE, Somerville, Massachusetts","42.3888026, -71.0954734",1,"651 Somerville Ave, Somerville, MA 02143","6.7","402","1.3664586",8
"9","1 VILLAGE TER, Somerville, Massachusetts","42.380706, -71.104941",1,"651 Somerville Ave, Somerville, MA 02143","2.93333333333333","176","0.6214",9
"10","10 AVON ST, Somerville, Massachusetts","42.3850638, -71.1004692",1,"651 Somerville Ave, Somerville, MA 02143","4.05","243","0.742573",10
"11","10 BEACON ST, Somerville, Massachusetts","42.3745827, -71.102346",1,"651 Somerville Ave, Somerville, MA 02143","4.95","297","1.0321454",11
"12","10 BOW ST, Somerville, Massachusetts","42.3804857, -71.0968643",2,"651 Somerville Ave, Somerville, MA 02143","4.15","249","0.8289476",12
"13","10 CALDWELL AVE, Somerville, Massachusetts","42.3779882, -71.1048939",1,"651 Somerville Ave, Somerville, MA 02143","4.01666666666667","241","0.8059558",13
"14","10 DIMICK ST, Somerville, Massachusetts","42.37591, -71.1020496",1,"651 Somerville Ave, Somerville, MA 02143","4.61666666666667","277","0.947635",14
"15","10 GARFIELD AVE, Somerville, Massachusetts","42.389659, -71.086398",1,"651 Somerville Ave, Somerville, MA 02143","9.28333333333333","557","1.9089408",15
"16","10 KENT CT, Somerville, Massachusetts","42.3828035, -71.1109927",1,"651 Somerville Ave, Somerville, MA 02143","3.58333333333333","215","0.820248",16
