"","Location","CountOfincnum","X","Y","Full.Address"
"1"," & REVOLUTION",NA,"-71.080017","42.391222","& REVOLUTION, Somerville, MA"
"2"," ",NA,"x","x",", Somerville, MA"
"3","",NA,"","",", Somerville, MA"
"4"," 1 NEW WASHINGTON ST",NA,"-71.082089","42.380202","1 NEW WASHINGTON ST, Somerville, MA"
"5"," 15 TENNYSON STREET",NA,"-71.100085","42.391808","15 TENNYSON STREET, Somerville, MA"
"6"," 15 TENNYSON STREET",NA,"-71.1000258","42.3918254","15 TENNYSON STREET, Somerville, MA"
"7"," 236 ELM STREET",NA,"-71.121929","42.394855","236 ELM STREET, Somerville, MA"
"8"," 3 NEW WASHINGTON ST",NA,"-71.086717","42.380873","3 NEW WASHINGTON ST, Somerville, MA"
"9"," 31 WHITMAN ST",NA,"-71.1233902","42.4025284","31 WHITMAN ST, Somerville, MA"
"10"," 36 FOSKETT ST",NA,"-71.116528","42.397271","36 FOSKETT ST, Somerville, MA"
"11"," 40  BOW ST",NA,"-71.0978956","42.3814948","40  BOW ST, Somerville, MA"
"12"," 422 MYSTIC AVE",NA,"-71.089018","42.395024","422 MYSTIC AVE, Somerville, MA"
"13"," 422 MYSTIC AVE",NA,"-71.0890077","42.395087","422 MYSTIC AVE, Somerville, MA"
"14"," 6 WATSON ST",NA,"-71.1290674","42.4047934","6 WATSON ST, Somerville, MA"
"15"," 709 MCGRATH HWY",NA,"-71.086728","42.390629","709 MCGRATH HWY, Somerville, MA"
"16"," 709 MCGRATH HWY",NA,"-71.086728","42.3906214","709 MCGRATH HWY, Somerville, MA"
"17"," A ALFRED LOMBARDI ST & BROADWA",NA,"-71.0783489","42.3866409","A ALFRED LOMBARDI ST & BROADWA, Somerville, MA"
"18"," A ALFRED LOMBARDI ST",NA,"-71.0783489","42.3866409","A ALFRED LOMBARDI ST, Somerville, MA"
"19"," A ALFRED LOMBARDI ST",NA,"-71.0783489","42.3866409","A ALFRED LOMBARDI ST, Somerville, MA"
"20"," ABERDEEN RD",NA,"-71.1135465","42.3920485","ABERDEEN RD, Somerville, MA"
"21"," ABERDEEN RD",NA,"-71.1135465","42.3920485","ABERDEEN RD, Somerville, MA"
"22"," ACADIA PK",NA,"-71.1169224","42.3882612","ACADIA PK, Somerville, MA"
"23"," ACADIA PK",NA,"-71.1169224","42.3882612","ACADIA PK, Somerville, MA"
"24"," ACADIA PK",NA,"-71.1169224","42.3882612","ACADIA PK, Somerville, MA"
"25"," ADAMS ST W",NA,"-71.0995474","42.3956576","ADAMS ST W, Somerville, MA"
"26"," ADAMS ST",NA,"-71.0995474","42.3956576","ADAMS ST, Somerville, MA"
"27"," ADAMS ST",NA,"-71.0995474","42.3956576","ADAMS ST, Somerville, MA"
"28"," ADELAIDE RD",NA,"-71.1155853","42.3871643","ADELAIDE RD, Somerville, MA"
"29"," ADRIAN ST",NA,"-71.0989407","42.3773079","ADRIAN ST, Somerville, MA"
"30"," ADRIAN ST",NA,"-71.0989407","42.3773079","ADRIAN ST, Somerville, MA"
"31"," ALBION CT",NA,"-71.109258","42.392115","ALBION CT, Somerville, MA"
"32"," ALBION CT",NA,"-71.1091082","42.3922736","ALBION CT, Somerville, MA"
"33"," ALBION PL",NA,"-71.1082782","42.3924723","ALBION PL, Somerville, MA"
"34"," ALBION PL",NA,"-71.1082782","42.3924723","ALBION PL, Somerville, MA"
"35"," ALBION ST E",NA,"-71.1071395","42.3913877","ALBION ST E, Somerville, MA"
"36"," ALBION ST E",NA,"-71.1071395","42.3913877","ALBION ST E, Somerville, MA"
"37"," ALBION ST",NA,"-71.1071395","42.3913877","ALBION ST, Somerville, MA"
"38"," ALBION ST",NA,"-71.1071395","42.3913877","ALBION ST, Somerville, MA"
"39"," ALBION ST",NA,"-71.1071395","42.3913877","ALBION ST, Somerville, MA"
"40"," ALBION TER",NA,"-71.1078751","42.3913984","ALBION TER, Somerville, MA"
"41"," ALBION TERR",NA,"-71.1078751","42.3913984","ALBION TERR, Somerville, MA"
"42"," ALBION TERR",NA,"-71.1078751","42.3913984","ALBION TERR, Somerville, MA"
"43"," ALDERSEY ST",NA,"-71.0975623","42.3835577","ALDERSEY ST, Somerville, MA"
"44"," ALDERSEY ST",NA,"-71.0975623","42.3835577","ALDERSEY ST, Somerville, MA"
"45"," ALDERSEY ST",NA,"-71.0975623","42.3835577","ALDERSEY ST, Somerville, MA"
"46"," ALDERSEY STREET",NA,"-71.0975623","42.3835577","ALDERSEY STREET, Somerville, MA"
"47"," ALDRICH ST",NA,"-71.0914447","42.3854065","ALDRICH ST, Somerville, MA"
"48"," ALEWIFE BROOK PKWY",NA,"-71.1343051","42.4044075","ALEWIFE BROOK PKWY, Somerville, MA"
"49"," ALEWIFE BROOK PKWY",NA,"-71.1343051","42.4044075","ALEWIFE BROOK PKWY, Somerville, MA"
"50"," ALEWIFE BROOK PKY",NA,"-71.1343051","42.4044075","ALEWIFE BROOK PKY, Somerville, MA"
"51"," ALEWIFE BROOK PKY",NA,"-71.1343051","42.4044075","ALEWIFE BROOK PKY, Somerville, MA"
"52"," ALEWIFE BROOK PKY",NA,"-71.1343051","42.4044075","ALEWIFE BROOK PKY, Somerville, MA"
"53"," ALFRED ST",NA,"-71.1080294","42.3993781","ALFRED ST, Somerville, MA"
"54"," ALLEN CT",NA,"-71.1073318","42.3821892","ALLEN CT, Somerville, MA"
"55"," ALLEN ST & SOMERVILLE AVE",NA,"-71.093115","42.37872","ALLEN ST & SOMERVILLE AVE, Somerville, MA"
"56"," ALLEN ST",NA,"-71.0931158","42.3786491","ALLEN ST, Somerville, MA"
"57"," ALLEN ST",NA,"-71.0931158","42.3786491","ALLEN ST, Somerville, MA"
"58"," ALPINE ST",NA,"-71.1086139","42.3929232","ALPINE ST, Somerville, MA"
"59"," ALPINE ST",NA,"-71.1086139","42.3929232","ALPINE ST, Somerville, MA"
"60"," ALPINE ST",NA,"-71.1086139","42.3929232","ALPINE ST, Somerville, MA"
"61"," ALSTON ST",NA,"-71.0889992","42.3812442","ALSTON ST, Somerville, MA"
"62"," ALSTON ST",NA,"-71.0889992","42.3812442","ALSTON ST, Somerville, MA"
"63"," ALSTON ST",NA,"-71.0889992","42.3812442","ALSTON ST, Somerville, MA"
"64"," AMES ST",NA,"-71.1022027","42.3923579","AMES ST, Somerville, MA"
"65"," AMES ST",NA,"-71.1022027","42.3923579","AMES ST, Somerville, MA"
"66"," AMES ST",NA,"-71.1022027","42.3923579","AMES ST, Somerville, MA"
"67"," APPLETON ST",NA,"-71.1162221","42.3966385","APPLETON ST, Somerville, MA"
"68"," APPLETON ST",NA,"-71.1162221","42.3966385","APPLETON ST, Somerville, MA"
"69"," ARLINGTON ST",NA,"-71.0821199","42.3860112","ARLINGTON ST, Somerville, MA"
"70"," ARLINGTON ST",NA,"-71.0821199","42.3860112","ARLINGTON ST, Somerville, MA"
